model,format,batch_size,cost
LSTM,H5,1,101766
LSTM,H5,16,46608
LSTM,H5,32,14495
LSTM,H5,64,11898
LSTM,H5,128,9841.93
LSTM,ONNX,1,1357.85
LSTM,ONNX,16,247.50
LSTM,ONNX,32,193.35
LSTM,ONNX,64,175.35
LSTM,ONNX,128,168.00
LSTM,PTH,1,10864.07
LSTM,PTH,16,9810.60
LSTM,PTH,32,5714.15
LSTM,PTH,64,5514.54
LSTM,PTH,128,4910.66
LSTM,CoreML,1,77808.45
LSTM,CoreML,16,5820.04
LSTM,CoreML,32,5164.10
LSTM,CoreML,64,4077.10
LSTM,CoreML,128,3977.05
CNN,H5,1,43713
CNN,H5,16,25373
CNN,H5,32,5920.59
CNN,H5,64,2973.18
CNN,H5,128,467.1
CNN,ONNX,1,79.1
CNN,ONNX,16,59.19
CNN,ONNX,32,41.49
CNN,ONNX,64,27.56
CNN,ONNX,128,18.92
CNN,PTH,1,2166.24
CNN,PTH,16,1290.12
CNN,PTH,32,617.97
CNN,PTH,64,370.80
CNN,PTH,128,242.20
CNN,CoreML,1,160.92
CNN,CoreML,16,92.37
CNN,CoreML,32,79.10
CNN,CoreML,64,68.50
CNN,CoreML,128,67.52
RandomForest_TEXT,Joblib,1,16668
RandomForest_TEXT,Joblib,16,182.53
RandomForest_TEXT,Joblib,32,155.97
RandomForest_TEXT,Joblib,64,66.53
RandomForest_TEXT,Joblib,128,14.47
RandomForest_TEXT,ONNX,1,393.97
RandomForest_TEXT,ONNX,16,174.83
RandomForest_TEXT,ONNX,32,156.70
RandomForest_TEXT,ONNX,64,146.45
RandomForest_TEXT,ONNX,128,72.93
RandomForest_TEXT,PTH,1,37888
RandomForest_TEXT,PTH,16,12780
RandomForest_TEXT,PTH,32,8624
RandomForest_TEXT,PTH,64,4827.68
RandomForest_TEXT,PTH,128,1284.18
RandomForest_TEXT,PMML,1,3254442
RandomForest_TEXT,PMML,16,2901665
RandomForest_TEXT,PMML,32,2281681
RandomForest_TEXT,PMML,64,1381102
RandomForest_TEXT,PMML,128,443530
RandomForest_IMAGE,Joblib,1,19603
RandomForest_IMAGE,Joblib,16,106.93
RandomForest_IMAGE,Joblib,32,85.41
RandomForest_IMAGE,Joblib,64,49.03
RandomForest_IMAGE,Joblib,128,18.96
RandomForest_IMAGE,ONNX,1,67.68
RandomForest_IMAGE,ONNX,16,42.43
RandomForest_IMAGE,ONNX,32,21.66
RandomForest_IMAGE,ONNX,64,20.43
RandomForest_IMAGE,ONNX,128,17.43
RandomForest_IMAGE,PTH,1,111828
RandomForest_IMAGE,PTH,16,4553.76
RandomForest_IMAGE,PTH,32,1364.61
RandomForest_IMAGE,PTH,64,541.56
RandomForest_IMAGE,PTH,128,212.63
RandomForest_IMAGE,PMML,1,751837    
RandomForest_IMAGE,PMML,1,177909
RandomForest_IMAGE,PMML,32,73531
RandomForest_IMAGE,PMML,1,63980
RandomForest_IMAGE,PMML,128,58536
XGboost_TEXT,Json,1,2879.4
XGboost_TEXT,Json,16,46.79
XGboost_TEXT,Json,32,23.80
XGboost_TEXT,Json,64,14.59
XGboost_TEXT,Json,128,4.27
XGboost_TEXT,ONNX,1,22.66
XGboost_TEXT,ONNX,16,13.80
XGboost_TEXT,ONNX,32,9.75
XGboost_TEXT,ONNX,64,6.63
XGboost_TEXT,ONNX,128,3.36
XGboost_TEXT,PTH,1,598.56
XGboost_TEXT,PTH,16,392.56
XGboost_TEXT,PTH,32,290.29
XGboost_TEXT,PTH,64,234.11
XGboost_TEXT,PTH,128,166.30
XGboost_IMAGE,Json,1,804.69
XGboost_IMAGE,Json,16,9.12
XGboost_IMAGE,Json,32,5.32
XGboost_IMAGE,Json,64,5.08
XGboost_IMAGE,Json,128,2.95
XGboost_IMAGE,ONNX,1,16.67
XGboost_IMAGE,ONNX,16,4.66
XGboost_IMAGE,ONNX,32,4.17
XGboost_IMAGE,ONNX,64,1.24
XGboost_IMAGE,ONNX,128,1.12
XGboost_IMAGE,PTH,1,6382.95
XGboost_IMAGE,PTH,16,45.91
XGboost_IMAGE,PTH,32,27.19
XGboost_IMAGE,PTH,64,16.296
XGboost_IMAGE,PTH,128,12.37
