model,format,batch_size,cost
LSTM,H5,1,1153.60
LSTM,H5,16,72.27
LSTM,H5,32,40.65
LSTM,H5,64,30.70
LSTM,H5,128,4.39
LSTM,ONNX,1,25.79
LSTM,ONNX,16,5.01
LSTM,ONNX,32,4.75
LSTM,ONNX,64,4.67
LSTM,ONNX,128,4.39
LSTM,PTH,1,5085.33
LSTM,PTH,16,30.92
LSTM,PTH,32,28.49
LSTM,PTH,64,27.75
LSTM,PTH,128,22.92
LSTM,CoreML,1,392.90
LSTM,CoreML,16,379.61
LSTM,CoreML,32,356.18
LSTM,CoreML,64,309.61
LSTM,CoreML,128,271.81
CNN,H5,1,697.56
CNN,H5,16,51.19
CNN,H5,32,21.45
CNN,H5,64,18.29
CNN,H5,128,7.13
CNN,ONNX,1,1.54
CNN,ONNX,16,0.78
CNN,ONNX,32,0.45
CNN,ONNX,64,0.43
CNN,ONNX,128,0.38
CNN,PTH,1,34.58
CNN,PTH,16,27.85
CNN,PTH,32,25.65
CNN,PTH,64,23.56
CNN,PTH,128,21.58
CNN,CoreML,1,5.88
CNN,CoreML,16,4.80
CNN,CoreML,32,4.73
CNN,CoreML,64,4.66
CNN,CoreML,128,4.49
RandomForest_IMAGE,Joblib,1,68.66
RandomForest_IMAGE,Joblib,16,7.12
RandomForest_IMAGE,Joblib,32,3.42
RandomForest_IMAGE,Joblib,64,1.49
RandomForest_IMAGE,Joblib,128,1.05
RandomForest_IMAGE,ONNX,1,4.64
RandomForest_IMAGE,ONNX,16,3.98
RandomForest_IMAGE,ONNX,32,3.78
RandomForest_IMAGE,ONNX,64,3.60
RandomForest_IMAGE,ONNX,128,3.36
RandomForest_IMAGE,PTH,1,139.68
RandomForest_IMAGE,PTH,16,49.70
RandomForest_IMAGE,PTH,32,27.86
RandomForest_IMAGE,PTH,64,21.14
RandomForest_IMAGE,PTH,128,16.07
RandomForest_IMAGE,PMML,1,937.75
RandomForest_IMAGE,PMML,16,928
RandomForest_IMAGE,PMML,32,912
RandomForest_IMAGE,PMML,64,892
RandomForest_IMAGE,PMML,128,866.78
RandomForest_TEXT,Joblib,1,61.86
RandomForest_TEXT,Joblib,16,5.57
RandomForest_TEXT,Joblib,32,3.08
RandomForest_TEXT,Joblib,64,2。75
RandomForest_TEXT,Joblib,128,1.68
RandomForest_TEXT,ONNX,1,6.13
RandomForest_TEXT,ONNX,16,4.82
RandomForest_TEXT,ONNX,32,3.54
RandomForest_TEXT,ONNX,64,3.50
RandomForest_TEXT,ONNX,128,3.36
RandomForest_TEXT,PTH,1,1115.80
RandomForest_TEXT,PTH,16,87.54
RandomForest_TEXT,PTH,32,57.54
RandomForest_TEXT,PTH,64,55.53
RandomForest_TEXT,PTH,128,41.45
RandomForest_TEXT,PMML,1,3350    
RandomForest_TEXT,PMML,1,3018
RandomForest_TEXT,PMML,32,2817
RandomForest_TEXT,PMML,1,2800
RandomForest_TEXT,PMML,128,2710
XGboost_TEXT,Json,1,16.98
XGboost_TEXT,Json,16,1.22
XGboost_TEXT,Json,32,0.60
XGboost_TEXT,Json,64,0.35
XGboost_TEXT,Json,128,0.17
XGboost_TEXT,ONNX,1,0.56
XGboost_TEXT,ONNX,16,0.26
XGboost_TEXT,ONNX,32,0.19
XGboost_TEXT,ONNX,64,0.15
XGboost_TEXT,ONNX,128,0.14
XGboost_TEXT,PTH,1,10.35
XGboost_TEXT,PTH,16,2.30
XGboost_TEXT,PTH,32,1.61
XGboost_TEXT,PTH,64,1.55
XGboost_TEXT,PTH,128,1.47
XGboost_IMAGE,Json,1,5.23
XGboost_IMAGE,Json,16,1.29
XGboost_IMAGE,Json,32,0.80
XGboost_IMAGE,Json,64,0.43
XGboost_IMAGE,Json,128,0.22
XGboost_IMAGE,ONNX,1,0.81
XGboost_IMAGE,ONNX,16,0.71
XGboost_IMAGE,ONNX,32,0.54
XGboost_IMAGE,ONNX,64,0.26
XGboost_IMAGE,ONNX,128,0.21
XGboost_IMAGE,PTH,1,14.34
XGboost_IMAGE,PTH,16,2.51
XGboost_IMAGE,PTH,32,1.14
XGboost_IMAGE,PTH,64,0.80
XGboost_IMAGE,PTH,128,0.64
